word_1,word_2,cosine_similarity
biến,ngập,-0.0049123275
nhà_thi_đấu,nhà,0.08252318
động,tĩnh,0.277086
khuyết,ưu,0.17679861
thủ_pháp,biện_pháp,0.4023661
kết_duyên,thành_hôn,0.46300837
cấp_tiến,bảo_thủ,0.256947
nước_lớn,nguy_hiểm,0.18519203
hoa,nhị,0.2230696
bất_lợi,thuận_lợi,0.5348913
phân_ly,sum_họp,0.07770109
diễu_hành,tuần_hành,0.6438835
cao_trào,thoái_trào,0.36103255
thịnh,suy,0.05960237
con_voi,ngà,0.23895505
cá_chuối,cá_quả,0.16647413
đổ_bê_tông,biếu_xén,-0.17284006
con_đẻ,con_ruột,0.64178884
uỷ_nhiệm,phân_công,0.2875353
bay_lượn,chuyển_động,0.38819718
khêu_gợi,khơi_gợi,0.25596473
thăng_bằng,cân_bằng,0.4804319
chọn_lựa,tuyển_chọn,0.47242633
có_ích,hữu_ích,0.6624094
cứng_rắn,nhỏ_nhắn,0.22523315
lỗ_đen,hố_đen,0.7340684
vùi,đóng,-0.013609533
tính_tình,tính_khí,0.6878254
mục_sư,giáo_sĩ,0.59640443
cộng_đồng,dân_tộc,0.37544417
rớ,sờ,0.38561356
trả_đũa,đền_đáp,0.23305647
tay_cầm,phân_đạm,-0.030257136
liên_hệ,nguỵ_trang,0.09239817
mới_tinh,mới_toanh,0.48129016
cột_trụ,bệ,0.44302887
họp_mặt,tiệc,0.4276403
lộn_xộn,gọn_gàng,0.3435372
chủ_động,thụ_động,0.47775364
vali,tay_cầm,0.16598254
ghen_tị,ghen_ghét,0.35188
ngôn_ngữ_học,khoa_học,0.53725076
thu_gom,tiếp_sức,0.17018184
quy_trình,sáng_tác,-0.09567834
thành_thị,thị_thành,0.40581125
nhảy_nhót,nhích,0.17700723
ly_tâm,hướng_tâm,0.09295288
cống,đường_ống,0.6561799
còm,nhỏ_nhoi,0.15914795
bánh_răng,răng,0.25739986
nao_núng,kiên_định,0.25181848
bằng_hữu,bầu_bạn,0.3138729
thân,lưng,0.30793133
bút_chì,lô,0.14150347
cổng,ổ_khoá,0.35367772
dị_bản,đĩa_bay,0.16630009
truy_cập,thâm_nhập,0.4902856
âm,nguy_hiểm,0.0902422
thăng_trầm,khô_kiệt,-0.009955186
thay_thế,biến_đổi,0.18305779
ban_công,lan_can,0.5501338
dưới,trên,0.21009877
kháng_cự,phản_đối,0.05442649
vế,vai_vế,0.19459175
vắng_lặng,ồn_ào,0.5530819
xót_thương,đau_lòng,0.53962165
găng_tay,quần_áo,0.44477743
sinh_vật_cảnh,đồng_dao,0.1825287
lặn,mọc,0.18843272
bồ_bịch,nhân_tình,0.43056762
bằng_chứng,chứng_cứ,0.72834796
hạ_màn,mở_màn,0.48128298
ca_tụng,đoàn_kết,0.06165376
ngày,đêm,0.5018292
lan_can,rào,0.49719492
trở_lại,đảo_ngược,0.26405528
nhạc_nhẹ,tiểu_học,-0.008235427
tự_do,đức_tính,0.0016070188
hợp_nhất,liên_kết,0.33817375
hoàng_tộc,hoàng_gia,0.43346357
đầu_mối,chỗ,0.16435136
tinh_luyện,hoá_lỏng,0.34891075
bí_hiểm,bí_mật,0.28764477
chung_tình,phụ_bạc,0.39929497
bàn_cãi,cân_nhắc,0.27706867
nhảy_cao,ném_đĩa,0.47279605
tiếng_chuông,âm_thanh,0.3806991
tha_thẩn,thơ_thẩn,0.6520561
thuyền,bánh_lái,0.3957524
nấp,hiện,0.037029315
cất,giấu,0.4255937
âm,gốc,0.30025828
đặt,thả_lỏng,0.117888175
chỉnh_hình,tiểu_học,0.11930275
tẩy,cạn,0.14183918
cây_trồng,đĩa_bay,0.10001388
chỉnh_hình,luồng,-0.17340858
màng_tế_bào,bảng_tổng_sắp,-0.019664366
ngót_nghét,xấp_xỉ,0.43308505
biến_động,cố_định,0.23889653
khuyết_điểm,ưu_điểm,0.39247417
nhạo_báng,khiếm_nhã,0.4791904
hại,lợi,0.23100267
bướu_cổ,bệnh_tật,0.39499837
cây_thuốc,cây_hoa_màu,0.364958
tinh_lọc,tinh_chế,0.5270151
bức_bối,nguỵ_trang,-0.045685604
thân_thể,đầu,-0.04944032
quỷ_quyệt,xảo_quyệt,0.6348067
hoang_phí,hà_tiện,0.5036435
cóp_nhặt,để_dành,0.15002383
may,rủi,0.0752266
tum,chân_vịt,0.18165489
nhạo,vèo,0.15451685
ngoại_lệ,thường_lệ,-0.037167747
phong_độ,phong_thái,0.37012652
biết_ơn,vô_ơn,0.28601098
buồn_bã,nối_tiếp,0.099908724
quay,chuyển_hướng,0.29619816
tập_dượt,tập_luyện,0.4343145
oxy_hoá,đổi_thay,0.119864106
trà,bụi,0.22222663
phỏng,mảnh,0.081764095
phòng_ngủ,công_trình_phụ,0.28153875
hình_hoạ,cung_bậc,0.16802561
hoạ,phúc,0.116998084
nửa_mùa,đồng_điệu,-0.011829051
thịnh_hành,hữu_tình,0.07773203
lời_lãi,thua_lỗ,0.26650777
con_đường,vỉa_hè,0.31174058
chính_nghĩa,phi_nghĩa,0.55704933
trần_gian,cõi_âm,0.34624407
vượng,suy,0.008037532
ấp_úng,nói,0.21051429
thất_bại,thành_công,0.46645677
ái_mộ,hâm_mộ,0.46916485
nỗi_đau,tai_hoạ,0.49030417
định_kỳ,bất_thường,0.1438635
trước,sau,0.5766045
đánh_bóng,làm_đẹp,0.3821435
đoán,quan_sát,0.32032803
đồ_dùng,đồ_vật,0.5749492
giải_tán,tập_hợp,0.19389667
nhóm,liên_kết,0.24164796
đầu_tiên,cuối_cùng,0.5106628
quyển,bìa,0.20940316
vượt_tuyến,hằn_học,-0.029710358
chiến_bại,thắng_lợi,0.28370163
đỡ_đần,bình_luận,0.017015265
hạ,tăng,0.35986948
bội_bạc,chung_thuỷ,0.3397885
nhà_máy,dây_chuyền,0.35946235
tàu_hoả,xe_điện_ngầm,0.42191052
thuở,thủa,0.861469
tranh,trông_nom,-0.033363037
xuôi,ngược,0.31479698
biên_nhận,móc,0.003812861
thi_hành,bắt,0.058758203
cự_tuyệt,bãi_bỏ,0.3968392
hiện_trạng,tình_cảnh,0.19672622
vượt_tuyến,dứt_điểm,0.25933155
bằng,văn_bằng,0.055385333
tĩnh_dưỡng,lộn_xộn,-0.021294966
nhốt,thả,0.39828527
nội_tiết,huyệt,0.18902843
phụ_bản,truyện_tranh,0.3474293
phong_thư,địa_chỉ,0.24974905
thời_bình,thời_chiến,0.60891986
áo_quan,quan_tài,0.67558265
trẩy_hội,ví,0.053140555
cũ_kỹ,mới_mẻ,0.32329094
sân_vận_động,khán_đài,0.57069963
được,mất,-0.0051037692
hiểu,tiên_lượng,0.252627
quét_dọn,loại_bỏ,0.045425624
bay_hơi,bay,0.14853096
dễ_dàng,khó_khăn,0.42687938
gạ,gạ_gẫm,0.67006505
nhậm_chức,nhiệm_chức,0.3141634
hổ_thẹn,bắt_buộc,0.28823653
dấu_hiệu,đặc_trưng,0.12474992
người_dân,tộc_người,0.34523845
bật_lửa,giảm_xóc,0.17679107
sinh_vật_cảnh,không_trung,0.07106156
chần_chờ,dứt_khoát,-0.081508055
tư_thế,phong_thái,0.33566695
máy_vi_tính,phím,0.23320124
sụp_đổ,kìm_nén,0.22137555
mắc_kẹt,cầm_giữ,0.47463483
hình_hoạ,khí_quyển,0.09329309
thuộc_địa,kiều_dân,0.3203892
nhà_hát,sân_khấu,0.44064832
thìa,muỗng,0.84229773
tỏ,biểu_lộ,0.49757484
chiến_tranh,trận_chiến,0.4115581
cộc,va,0.03402577
tính_sổ,giám_đốc_thẩm,0.030978477
hơn,thua,0.0860522
cựu_binh,tân_binh,0.45581412
tính_sổ,nuôi_dưỡng,0.07438553
hâm_nóng,cải_biến,0.39097384
bón,tẩm,0.22687195
thảm,thê_thảm,0.21824308
lắp_đặt,nhồi_nhét,0.08913522
tạo_hoá,tạo_vật,0.2990252
hen,cúm,0.3393091
mệt_mỏi,mỏi_mệt,0.7741544
tắc_nghẽn,thông_suốt,0.3645972
trọng,coi_trọng,0.38243154
đẽo,bắt,0.06499286
hú,ca,0.14642502
danh_sách,mục,0.25190297
chuyển_nhượng,phát_mại,0.18257703
vòng_tay,trang_sức,0.11202611
đổ_bê_tông,chăm_sóc,0.05597905
kín,phát,0.018338226
người_tình,chiến_sĩ,0.10625735
cuối,đầu,0.6423955
cần_tây,đậu_bắp,0.55025375
định_kì,bất_thường,0.15856257
thiện_chí,ác_ý,0.3047469
biên_cương,biên_giới,0.35563126
sông,cửa_sông,0.6408591
tím,bẹp,0.10812724
